Restaurant Name,Restaurant Area,Restaurant Rating,Restaurant Review,Latitude,Longitude,Website,Restaurant Address,Price for 2,Additional Info,Province,City,District/Kecamatan,Delivery Service,Place Type,Cuisine Regionality,Cuisines,alkoholtersedia,areamerokok,bawapulangtersedia,brunch,buffet,dessertsandbakes,didalamruangan,hanyabawapulang,hanyabir,hanyauntukreservasimeja,hanyawinedanbir,kehidupanmalam,liveentertainment,livemusic,makandengangrup,makanmewah,menyediakancocktail,parkirgratis,parkirvalettersedia,prasmanan,ramahuntukanak,ramahvegetarian,reservasimejadirekomendasikan,rooftop,ruangpribaditersedia,ruangsholat,sarapan,tempatdudukdiluar,wifitersedia
Zenbu,Tanjung Duren,4.4,794,-6.1765252973,106.791145093,https://www.zomato.com/id/jakarta/zenbu-tanjung-duren,"Central Park, Lantai Lower Ground, Jl. Letjen S. Parman, Tanjung Duren, Jakarta",200000,"['Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Hanya Bir', 'Bawa Pulang Tersedia', 'Wifi Tersedia']",DKI Jakarta,Jakarta Barat,Grogol Petamburan,No,['Casual Dining'],"['Indonesia', 'Jepang']","['Sushi', 'Ramen']",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Roast Coffee Ketapang,Gajah Mada,3.6,17,-6.159617,106.812853,https://www.zomato.com/id/jakarta/roast-coffee-ketapang-gajah-mada,"Jl. K. H. Zainul Arifin No. 20, Gajah Mada, Jakarta",100000,"['Ramah untuk Anak', 'Drive Through', 'Parkir Gratis', 'Tempat duduk di luar', 'Sarapan', 'Di dalam ruangan', 'Desserts and Bakes', 'Ramah untuk Difabel', 'Prasmanan', 'Biaya masuk', 'Wifi Tersedia']",DKI Jakarta,Jakarta Barat,Tamansari,No,['Kafe'],"['No Region', 'Barat', 'Indonesia']","['Kopi', 'Minuman', 'Kue & Roti']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1
Accha,Kemang,3.6,13,-6.2509499313,106.81428154700001,https://www.zomato.com/id/jakarta/accha-kemang,"Jl. Bangka Raya No. 106, Kemang, Jakarta",120000,"['Drive Through', 'Sarapan', 'Pilihan Vegan', 'Hanya Bawa Pulang', 'Ramah Vegetarian']",DKI Jakarta,Jakarta Selatan,Mampang Prapatan,No,['Quick Bites'],['India'],['Kopi'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Mifuné,Senopati,3.3,15,-6.24276,106.809104,https://www.zomato.com/id/jakarta/mifuné-1-senopati,"Jl. Cikajang No. 70, Senopati, Jakarta 12170",200000,"['Ruang Pribadi Tersedia', 'Di dalam ruangan', 'Parkir Valet Tersedia', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']",DKI Jakarta,Jakarta Selatan,Kebayoran Baru,No,['Quick Bites'],['Jepang'],['Kopi'],0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
Gong Cha,Karet,3.4,9,-6.2244286299,106.82340804399999,https://www.zomato.com/id/jakarta/gong-cha-1-karet,"Ciputra World, Lotte Shopping Avenue, Jl. Prof. Dr. Satrio, Karet, Jakarta",60000,"['Bawa Pulang Tersedia', 'Di dalam ruangan']",DKI Jakarta,Jakarta Selatan,Setiabudi,No,['Toko Minuman'],['Indonesia'],"['Tea', 'Minuman']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tsurukamedou,Green Ville,4.2,390,-6.1698,106.76955,https://www.zomato.com/id/jakarta/tsurukamedou-green-ville,"Jl. Ratu Kemuning Raya, Blok A2 No. 8A, Green Ville, Jakarta",140000,"['Bawa Pulang Tersedia', 'Wifi Tersedia', 'Di dalam ruangan']",DKI Jakarta,Jakarta Barat,Kebon Jeruk,No,['Quick Bites'],['Jepang'],['Ramen'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LOLA,Senopati,4.2,368,-6.2330283562,106.80779524100001,https://www.zomato.com/id/jakarta/lola-senopati,"Jl. Gunawarman No. 21, Senopati, Jakarta",500000,"['Alkohol Tersedia', 'Di dalam ruangan', 'Parkir Valet Tersedia', 'Area Merokok', 'Kehidupan Malam']",DKI Jakarta,Jakarta Selatan,Kebayoran Baru,No,['Bar'],"['Amerika', 'Meksiko']",['Kopi'],1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kebun Ide,Pondok Aren,3.5,44,-6.281129,106.71465800000001,https://www.zomato.com/id/jakarta/kebun-ide-pondok-aren-tangerang,"Jl. Arteri Bintaro, Sektor 9 No. 78, Pondok Aren, Tangerang",150000,"['Tempat duduk di luar', 'Di dalam ruangan']",Banten,Tangerang Selatan,Pondok Aren,No,['Kafe'],['Indonesia'],['Ice Cream'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dijan's,Kemang,4.3,281,-6.2736033473,106.817581616,https://www.zomato.com/id/jakarta/dijans-kemang,"Jl. Kemang Selatan No. 102 A, Kemang, Jakarta",400000,"['Di dalam ruangan', 'Hanya Wine dan Bir', 'Reservasi meja direkomendasikan', 'Bawa Pulang Tersedia', 'Wifi Tersedia']",DKI Jakarta,Jakarta Selatan,Pasar Minggu,No,['Casual Dining'],"['Belanda', 'Indonesia', 'Kontinental']",['Grill House'],0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bakmi Cong Sim Medan Pasar Rame,Mangga Besar,4.6,366,-6.149943,106.81803899999998,https://www.zomato.com/id/jakarta/bakmi-cong-sim-medan-pasar-rame-mangga-besar,"Jl. Mangga Besar Raya No. 2J, Mangga Besar, Jakarta",100000,"['Sarapan', 'Di dalam ruangan', 'Tempat duduk di luar', 'Area Merokok', 'Prasmanan', 'Pesan Antar', 'Bawa Pulang Tersedia']",DKI Jakarta,Jakarta Barat,Tamansari,Yes,['Quick Bites'],"['Medan', 'Indonesia', 'Chinese']",['Bakmi'],0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Umaku,Cibubur,4.4,298,-6.382805525399999,106.924334205,https://www.zomato.com/id/jakarta/umaku-cibubur,"Ruko City Walk, Blok CW1 No. 26, Jl. Alternatif Cibubur, Jatisampurna, Bekasi",140000,"['Tempat duduk di luar', 'Di dalam ruangan']",Jawa Barat,Bekasi Kota,Jatisampurna,No,['Quick Bites'],"['Asia', 'Jepang']","['Sushi', 'Bubur', 'Ramen']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tregioia Creamery,Pinang,3.9,60,-6.2319498152,106.659666895,https://www.zomato.com/id/jakarta/tregioia-creamery-1-pinang-tangerang,"Ruko Element, Blok 25BC C-3, Jl. Jalur Sutera, Pinang, Tangerang",100000,"['Desserts and Bakes', 'Tempat duduk di luar', 'Di dalam ruangan', 'Sarapan', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']",Banten,Tangerang Selatan,Serpong Utara,Yes,['Kafe'],['Indonesia'],"['Kopi', 'Ice Cream']",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
