Restaurant Name,Place Type,Cuisines,Cuisine Regionality,Price for 2,Restaurant Rating,Restaurant Review,Restaurant Address,District/Kecamatan,City,Province,Additional Info
High Style Hotpot,['Casual Dining'],['Kopi'],['Chinese'],200000,3.4,91,"Ruko The Metro, Blok 6 JD-JE, Jl. Mandara Permai VII, Pantai Indah Kapuk, Jakarta",Penjaringan,Jakarta Utara,DKI Jakarta,"['Reservasi meja direkomendasikan', 'Di dalam ruangan']"
The Chinese National - Swissôtel Jakarta PIK Avenue,['Casual Dining'],['Kopi'],"['Eropa', 'Barat', 'Chinese', 'Asia']",300000,3.1,34,"Swissôtel Jakarta PIK Avenue, Jl. Pantai Indah Kapuk Boulevard, Pantai Indah Kapuk, Jakarta 14470",Penjaringan,Jakarta Utara,DKI Jakarta,"['Ruang Pribadi Tersedia', 'Di dalam ruangan', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Live Entertainment', 'Area Merokok', 'No Additional Info', 'Hanya Bir', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Shu Guo Yin Xiang,['Quick Bites'],['Kopi'],['Chinese'],350000,3.7,29,"Senayan City, Lantai 5, Jl. Asia Afrika, Senayan, Jakarta",Tanah Abang,Jakarta Pusat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Reservasi meja direkomendasikan', 'Di dalam ruangan']"
Stuja Coffee,['Kafe'],"['Kopi', 'Minuman']",['No Region'],100000,3.8,108,"Salapan Noodle, Jl. Cipete Raya No. 18-19, Fatmawati, Jakarta",Cilandak,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Wifi Tersedia', 'Di dalam ruangan']"
BASQUE Bar de Tapas,"['Casual Dining', 'Bar']",['Kopi'],['Spanyol'],750000,4.5,787,"Noble House Building, Lantai 8, Jl. Mega Kuningan Barat, Kuningan, Jakarta 12950",Setiabudi,Jakarta Selatan,DKI Jakarta,"['Brunch', 'Ruang Pribadi Tersedia', 'Alkohol Tersedia', 'Di dalam ruangan', 'Pemandangan Kota', 'Parkir Valet Tersedia', 'Reservasi meja direkomendasikan', 'Live Entertainment', 'Area Merokok', 'No Additional Info', 'Rooftop', 'Kehidupan Malam', 'Wifi Tersedia']"
Hong Tang,['Dessert Parlor'],['Desserts'],['Taiwanese'],100000,4.0,235,"Gandaria City, Lantai Upper Ground, Jl. Sultan Iskandar Muda, Gandaria, Jakarta",Kebayoran Lama,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Wifi Tersedia', 'Desserts and Bakes', 'Di dalam ruangan']"
Pizza Marzano,['Casual Dining'],['Pizza'],['Itali'],280000,4.2,343,"Grand Indonesia Mall, West Mall, Lantai Lower Ground, Food Hall, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta",Tanah Abang,Jakarta Pusat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Wifi Tersedia', 'Reservasi meja direkomendasikan', 'Di dalam ruangan']"
Upstairs Rooftop Cafe,"['Casual Dining', 'Kafe']",['Kopi'],"['No Region', 'Barat', 'Indonesia']",250000,3.8,95,"Sawana Suites, Lantai 4, Jl. Danau Limboto No. 45, Bendungan Hilir, Jakarta",Tanah Abang,Jakarta Pusat,DKI Jakarta,"['Tempat duduk di luar', 'Sarapan', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Rooftop', 'Hanya Bir', 'Wifi Tersedia']"
Korbeq Restaurant by Stevan Meat Shop,['Casual Dining'],"['Grill House', 'Meat']",['Korea'],200000,3.7,315,"Ruko Crown Golf, Blok A No. 8, Bukit Golf Mediterania, Jl. Marina Indah Golf Mediterania, Pantai Indah Kapuk, Jakarta",Penjaringan,Jakarta Utara,DKI Jakarta,"['Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Bawa Pulang Tersedia', 'Wifi Tersedia', 'Buffet']"
Chroma Coffee & Eatery,['Kafe'],"['Kopi', 'Minuman']","['No Region', 'Barat', 'Indonesia']",200000,4.2,189,"Taman Kedoya Baru Residence, Jl. Kedoya Palma Raya, Blok FC No. 1, Kedoya, Jakarta",Kebon Jeruk,Jakarta Barat,DKI Jakarta,"['Tempat duduk di luar', 'Sarapan', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Sositi Coffee & Bar,['Kafe'],"['Kopi', 'Minuman']","['No Region', 'Indonesia']",170000,4.2,286,"Foresta Business Loft Signature, Jl. BSD Raya Utama, Serpong, Tangerang 15331",Pagedangan,Tangerang Kabupaten,Banten,"['Parkir Gratis', 'Sarapan', 'Di dalam ruangan', 'Tempat duduk di luar', 'Area Merokok', 'Hanya Bir', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Senshu Japanese Restaurant - Fairmont Jakarta,['Fine Dining'],['Kopi'],['Jepang'],1000000,4.1,100,"Fairmont Jakarta, Jl. Asia Afrika No. 8, Senayan, Jakarta",Tanah Abang,Jakarta Pusat,DKI Jakarta,"['Reservasi meja direkomendasikan', 'Wifi Tersedia', 'Di dalam ruangan']"
Angke Ketapang,['Casual Dining'],['Kopi'],['Chinese'],450000,4.9,447,"Komplek Ketapang Indah, Jl. K. H. Zainul Arifin, Blok B1 No. 1, Gajah Mada, Jakarta",Tamansari,Jakarta Barat,DKI Jakarta,"['Ruang Pribadi Tersedia', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
"Sate Taichan ""Goreng""",['Quick Bites'],['Satay'],['Indonesia'],70000,4.2,3671,"Jl. Tebet Raya No. 70, Tebet, Jakarta",Tebet,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Glass House,['Casual Dining'],['Kopi'],['Asia'],600000,4.1,128,"Jl. Cipaku 1 No. 85, Dharmawangsa, Jakarta",Kebayoran Baru,Jakarta Selatan,DKI Jakarta,"['Alkohol Tersedia', 'Di dalam ruangan', 'Parkir Valet Tersedia', 'Reservasi meja direkomendasikan', 'Live Entertainment', 'Area Merokok', 'Menyediakan cocktail', 'Pesan Antar', 'Wifi Tersedia']"
Orbit Gelato,['Dessert Parlor'],"['Desserts', 'Kopi', 'Ice Cream']",['Indonesia'],100000,4.2,185,"Ruko Garden House, Blok B No. 1, Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Jakarta 14470",Penjaringan,Jakarta Utara,DKI Jakarta,"['Desserts and Bakes', 'Di dalam ruangan', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia', 'Ramah Vegetarian']"
Gubug Udang Situ Cibubur,['Casual Dining'],"['Seafood', 'Bubur']","['Sunda', 'Asia']",300000,3.8,205,"Jl. Alternatif Cibubur No.4, Harjamukti, Cimanggis, Kota Depok, Jawa Barat",Cimanggis,Depok,Jawa Barat,"['Ruang Pribadi Tersedia', 'Tempat duduk di luar', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Pesan Antar']"
Yellowfin,['Casual Dining'],['Sushi'],['Jepang'],400000,4.2,395,"Jl. Senopati No. 42, Senopati, Jakarta",Kebayoran Baru,Jakarta Selatan,DKI Jakarta,"['Ruang Pribadi Tersedia', 'Alkohol Tersedia', 'Di dalam ruangan', 'Parkir Valet Tersedia', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
21 Factory,"['Dessert Parlor', 'Kafe']","['Kopi', 'Desserts']","['Fusion', 'Indonesia']",150000,4.1,184,"Jl. Veteran I No. 21, Gambir, Jakarta",Gambir,Jakarta Pusat,DKI Jakarta,"['Desserts and Bakes', 'Di dalam ruangan', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
De Boni Cucina Italiana,['Casual Dining'],['Kopi'],['Itali'],250000,3.9,58,"Ruko South Goldfinch, Blok C No. 27, Jl. Boulevard Springs, Serpong Utara, Tangerang",Pagedangan,Tangerang Kabupaten,Banten,"['Bawa Pulang Tersedia', 'Reservasi meja direkomendasikan', 'Di dalam ruangan']"
House of Crepes,"['Toko Kue & Roti', 'Dessert Parlor']","['Desserts', 'Kue & Roti']",['Perancis'],150000,4.3,89,"Plaza Indonesia, Lantai 5, Jl. M. H. Thamrin, Thamrin, Jakarta",Menteng,Jakarta Pusat,DKI Jakarta,"['Hanya Bawa Pulang', 'Desserts and Bakes']"
Kedai Kita,['Quick Bites'],['Pizza'],['Indonesia'],170000,4.0,480,"Jl. Taman Aries H 1 No. 1, Meruya, Jakarta",Kembangan,Jakarta Barat,DKI Jakarta,"['Tempat duduk di luar', 'Sarapan', 'Di dalam ruangan', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Melly's Garden,['Bar'],['Kopi'],"['Jawa', 'Barat', 'Indonesia']",150000,4.0,567,"Jl. Kebon Sirih Timur Dalam No. 37-39, Menteng, Jakarta",Menteng,Jakarta Pusat,DKI Jakarta,"['Alkohol Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan', 'Live Music', 'Area Merokok', 'Kehidupan Malam', 'Wifi Tersedia']"
Bakerzin,"['Toko Kue & Roti', 'Casual Dining']",['Kue & Roti'],"['Indonesia', 'No Region', 'Itali', 'Barat']",250000,4.1,344,"Central Park, Lantai Ground, Jl. Letjen S. Parman, Tanjung Duren, Jakarta",Grogol Petamburan,Jakarta Barat,DKI Jakarta,"['Desserts and Bakes', 'Tempat duduk di luar', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Pesan Antar', 'Wifi Tersedia']"
Formaggio Coffee & Resto,['Casual Dining'],"['Kopi', 'Minuman']","['No Region', 'Barat', 'Itali']",200000,4.1,170,"Jl. Nyi Mas Melati Blok A2, Kec. Tangerang, Tangerang 15111",Tangerang,Tangerang Kota,Banten,"['Ruang Pribadi Tersedia', 'Di dalam ruangan', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Live Entertainment', 'Area Merokok', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Hours Coffee & More,['Casual Dining'],"['Tea', 'Kopi', 'Minuman']","['No Region', 'Barat', 'Asia']",250000,4.3,393,"Jl. Boulevard Bukit Gading Raya No. 1, Kelapa Gading, Jakarta",Kelapa Gading,Jakarta Utara,DKI Jakarta,"['Ruang Pribadi Tersedia', 'Sarapan', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Beatrice Quarters,['Casual Dining'],['Desserts'],"['Indonesia', 'Itali', 'Jepang']",300000,4.4,344,"Central Park, Lantai Lower Ground, Jl. Letjen S. Parman, Tanjung Duren, Jakarta",Grogol Petamburan,Jakarta Barat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Reservasi meja direkomendasikan', 'Wifi Tersedia', 'Di dalam ruangan']"
Hello Sunday,['Casual Dining'],"['Kopi', 'Desserts']","['Sunda', 'Itali', 'Asia']",350000,4.4,795,"Metropole 21 Lantai 2, Jl. Pegangsaan Timur No. 21, Cikini, Jakarta",Menteng,Jakarta Pusat,DKI Jakarta,"['Pesan Antar', 'Tempat duduk di luar', 'Di dalam ruangan', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Hanya Bir', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
oū tu Café & Resto,"['Quick Bites', 'Kafe']",['Minuman'],['Indonesia'],125000,3.9,100,"Jl. Tanjung Duren Utara 8 No. 886, Tanjung Duren, Jakarta",Grogol Petamburan,Jakarta Barat,DKI Jakarta,"['Tempat duduk di luar', 'Di dalam ruangan', 'Sarapan', 'Pesan Antar', 'Bawa Pulang Tersedia']"
Bangkok Tomyum,['Food Court'],['Kopi'],"['Thai', 'Indonesia']",80000,3.9,27,"Taman Jajan CBD, Jl. Boulevard Bintaro Jaya, Bintaro Sektor 7, Pondok Aren, Tangerang",Pondok Aren,Tangerang Selatan,Banten,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Ikkudo Ichi,['Quick Bites'],['Ramen'],['Jepang'],180000,4.5,1222,"Kota Kasablanka, Lantai Lower Ground, Jl. Casablanca Raya, Tebet, Jakarta",Tebet,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Miss Spicy,['Quick Bites'],['Kopi'],['Jepang'],150000,3.3,7,"Plaza Semanggi, Lantai 3A no. 20A, Jl. Jenderal Sudirman No. 50, Sudirman, Jakarta",Setiabudi,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Bakmi Ahau 38,['Quick Bites'],['Bakmi'],"['Indonesia', 'Chinese']",120000,4.0,233,"Jl. Mangga Besar No. 38, Mangga Besar, Jakarta",Tamansari,Jakarta Barat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Tempat duduk di luar']"
Anomali Coffee,"['Quick Bites', 'Kafe']","['Kopi', 'Minuman']","['No Region', 'Barat', 'Indonesia']",200000,4.1,471,"Jl. Teuku Cik Ditiro No. 52, Menteng, Jakarta",Menteng,Jakarta Pusat,DKI Jakarta,"['Tempat duduk di luar', 'Sarapan', 'Di dalam ruangan', 'Parkir Valet Tersedia', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Ncek Legenda Noodle Bar,['Quick Bites'],['Bakmi'],['Chinese'],70000,4.5,433,"Jl. Kelapa Hybrida Raya, Blok QK1 No. 16, Kelapa Gading, Jakarta",Kelapa Gading,Jakarta Utara,DKI Jakarta,"['Sarapan', 'Di dalam ruangan', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Sushi Corner,['Quick Bites'],['Sushi'],['Jepang'],70000,4.0,91,"Ruko Permata Taman Palem, Blok D2 No. 11, Jl. Taman Palem Lestari, Cengkareng, Jakarta",Kalideres,Jakarta Barat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Area Merokok', 'Pesan Antar']"
Coffee 31,['Kafe'],"['Kopi', 'Minuman']",['No Region'],60000,4.0,79,"Jl. Cemara No.27-39, Menteng, Jakarta",Menteng,Jakarta Pusat,DKI Jakarta,"['Desserts and Bakes', 'Tempat duduk di luar', 'Di dalam ruangan', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Relung Kopi,['Kafe'],"['Kopi', 'Minuman']","['No Region', 'Chinese']",80000,3.5,35,"Jl. Tebet Barat IX No.17, Tebet, Jakarta",Tebet,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Daun Kelapa,['Casual Dining'],['Kopi'],['Sunda'],200000,3.4,24,"Ruko Inkopal, Blok C No. 42-43A, Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta",Kelapa Gading,Jakarta Utara,DKI Jakarta,"['Bawa Pulang Tersedia', 'Reservasi meja direkomendasikan', 'Di dalam ruangan']"
Lumiére,['Casual Dining'],['Kopi'],"['Eropa', 'Fusion', 'Itali', 'Indonesia']",150000,3.6,31,"Ruko Graha Marcella No. 1, Sektor 3A, Jl. Bintaro Utama Raya, Bintaro, Jakarta",Pondok Aren,Tangerang Selatan,Banten,"['Brunch', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Happiness Kitchen & Coffee,['Kafe'],"['Kopi', 'Minuman']","['No Region', 'Barat']",120000,4.0,737,"Jl. M. Kahfi 1 No. 36A, Jagakarsa, Jakarta",Jagakarsa,Jakarta Selatan,DKI Jakarta,"['Tempat duduk di luar', 'Di dalam ruangan', 'Parkir Valet Tersedia', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Live Entertainment', 'Area Merokok', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Warung Fotkop,['Kafe'],['Kopi'],['Indonesia'],80000,3.9,53,"Jl. Nangka I No. 6, Fatmawati, Jakarta",Kebayoran Baru,Jakarta Selatan,DKI Jakarta,"['Parkir Gratis', 'Tempat duduk di luar', 'Sarapan', 'Di dalam ruangan', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Amy and Cake,['Toko Kue & Roti'],['Kue & Roti'],['Indonesia'],80000,3.5,18,"Jl. Warga Raya No. 28, Pasar Minggu, Jakarta",Pasar Minggu,Jakarta Selatan,DKI Jakarta,"['Hanya Bawa Pulang', 'Desserts and Bakes']"
Sana Sini Restaurant - Pullman Jakarta Indonesia,['Fine Dining'],['Kopi'],"['Indonesia', 'Barat', 'Chinese', 'Jepang']",750000,4.7,836,"Pullman Jakarta Indonesia, Jl. M.H. Thamrin 59, Thamrin, Jakarta",Menteng,Jakarta Pusat,DKI Jakarta,"['Brunch', 'Alkohol Tersedia', 'Sarapan', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia', 'Buffet']"
Kopi Raga,['Toko Minuman'],"['Kopi', 'Minuman']","['No Region', 'Asia']",120000,3.6,13,"Jl. Mayor Madmuin Hasibuan, No. 72, Bekasi Timur, Bekasi",Bekasi Timur,Bekasi Kota,Jawa Barat,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Restaurant Baku Sayang,['Casual Dining'],['Seafood'],['Manado'],240000,4.3,295,"Jl. Pesanggrahan No. 27, Meruya, Jakarta 11610",Kembangan,Jakarta Barat,DKI Jakarta,"['Ruang Pribadi Tersedia', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Fish Village Restaurant,['Casual Dining'],['Seafood'],['Chinese'],250000,4.2,347,"Jl. Pluit Permai Raya No. 37, Pluit, Jakarta 14450",Penjaringan,Jakarta Utara,DKI Jakarta,"['Ruang Pribadi Tersedia', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Hanya Bir', 'Bawa Pulang Tersedia']"
Ayam Goreng Berkah Rahmat,['Quick Bites'],['Ayam'],"['Jawa', 'Indonesia']",80000,4.4,588,"Jl. Melawai No. 13, Dharmawangsa, Jakarta",Kebayoran Baru,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Pesan Antar']"
Restoran Beautika Manado,['Casual Dining'],['Kopi'],"['Manado', 'Indonesia']",200000,4.5,365,"Jl. Hang Lekir No. 1, Senayan, Jakarta",Kebayoran Baru,Jakarta Selatan,DKI Jakarta,"['Ruang Pribadi Tersedia', 'Sarapan', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Pesan Antar']"
8th Bean Cafe Grogol,['Kafe'],['Kopi'],['No Region'],60000,4.1,107,"Jl. Dr. Susilo Raya, No. 12, Grogol, Jakarta",Grogol Petamburan,Jakarta Barat,DKI Jakarta,"['Tempat duduk di luar', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
BAWBAW カフェ,['Casual Dining'],"['Sushi', 'Bubble Tea']",['Jepang'],150000,4.1,174,"Jl. Kelapa Puyuh Raya, Blok Z2 No. 1, Kelapa Gading, Jakarta 14240",Kelapa Gading,Jakarta Utara,DKI Jakarta,"['Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Hanya Bir', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Yakiniku Esina Garden,['Casual Dining'],['Kopi'],"['Korea', 'Jepang']",350000,4.6,351,"Plaza Senayan, Lantai 4, Jl. Asia Afrika, Senayan, Jakarta",Tanah Abang,Jakarta Pusat,DKI Jakarta,"['Wifi Tersedia', 'Reservasi meja direkomendasikan', 'Alkohol Tersedia', 'Di dalam ruangan']"
Gubug Makan Mang Engking,['Casual Dining'],['Seafood'],['Sunda'],270000,3.9,215,"Universitas Indonesia, Jl. Danau Salam, Jagakarsa, Jakarta",Jagakarsa,Jakarta Selatan,DKI Jakarta,"['Tempat duduk di luar', 'Di dalam ruangan', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Bawa Pulang Tersedia']"
"Asia Restaurant - The Ritz-Carlton Jakarta, Mega Kuningan",['Casual Dining'],['Kopi'],"['Indonesia', 'Barat', 'Chinese', 'Jepang']",600000,4.2,480,"The Ritz-Carlton Jakarta, Kawasan Mega Kuningan, Jl. Dr Ide Anak Agung Gde Agung No. 1, Kuningan, Jakarta 12950",Setiabudi,Jakarta Selatan,DKI Jakarta,"['Brunch', 'Ruang Pribadi Tersedia', 'Sarapan', 'Hanya Wine dan Bir', 'Di dalam ruangan', 'Live Music', 'Reservasi meja direkomendasikan', 'Wifi Tersedia', 'Buffet']"
Pizzza Dealer,['Quick Bites'],['Pizza'],['Indonesia'],80000,3.5,15,"Pelaspas Dharmawangsa, Jl. Dharmawangsa Raya No.4, Dharmawangsa, Jakarta",Kebayoran Baru,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Tempat duduk di luar']"
Holycow! Steak Hotel by HOLYCOW!,['Casual Dining'],"['Tea', 'Steak', 'Barbekyu']","['Amerika', 'No Region', 'Barat']",400000,4.0,282,"Lippo Mall Puri @ The St. Moritz, Lantai Lower Ground, Jl. Puri Indah Boulevard Blok U No. 1, Puri Indah, Jakarta, Puri Indah, Jakarta",Kembangan,Jakarta Barat,DKI Jakarta,"['Ramah untuk Anak', 'Sarapan', 'Di dalam ruangan', 'Makan Dengan Grup', 'Bawa Pulang Tersedia', 'Wifi Tersedia', 'Menu Makan Siang']"
Suasanakopi.,['Toko Minuman'],"['Kopi', 'Minuman']",['No Region'],70000,3.9,128,"Jl. Kemang Utara No. 14, Kemang, Jakarta",Mampang Prapatan,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Wifi Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan']"
Green Door Kitchen,['Casual Dining'],['Kopi'],['Barat'],300000,4.3,348,"Mahaka Square, Lantai 1, Jl. Kelapa Nias, Kelapa Gading, Jakarta",Kelapa Gading,Jakarta Utara,DKI Jakarta,"['Ramah untuk Anak', 'Ruang Pribadi Tersedia', 'Hanya untuk reservasi meja', 'Sarapan', 'Di dalam ruangan', 'Area Merokok', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Gerobak Betawi,['Quick Bites'],['Soto'],"['Indonesia', 'Betawi']",150000,4.0,239,"Jl. Surya Wijaya, Blok BB 1 No. 1D-E, Green Ville, Jakarta",Kebon Jeruk,Jakarta Barat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Wifi Tersedia', 'Tempat duduk di luar', 'Pesan Antar']"
Ropang Plus Plus,"['Toko Kue & Roti', 'Quick Bites']","['Kue & Roti', 'Makanan Jalanan']",['Indonesia'],70000,4.2,440,"Jl. Pluit Sakti Raya No. 21A, Pluit, Jakarta 14450",Penjaringan,Jakarta Utara,DKI Jakarta,"['Tempat duduk di luar', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Pesan Antar', 'Bawa Pulang Tersedia']"
Nasi Kulit Pas Kantong,['Quick Bites'],['Kopi'],['Indonesia'],60000,3.8,10,"Jl. Taman S. Parman, Tomang, Jakarta",Grogol Petamburan,Jakarta Barat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
"Senju Omakase, Teppanyaki, & Sake",['Casual Dining'],['Minuman'],['Jepang'],500000,4.2,226,"Plaza Indonesia, Lantai 3, Jl. MH. Thamrin, Thamrin, Jakarta",Menteng,Jakarta Pusat,DKI Jakarta,"['Di dalam ruangan', 'Hanya Wine dan Bir', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Menyediakan cocktail', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Vilo Gelato,['Dessert Parlor'],['Ice Cream'],['Indonesia'],100000,4.1,196,"Jl. Surya Wijaya No. 35, Green Ville, Jakarta 11520",Kebon Jeruk,Jakarta Barat,DKI Jakarta,"['Desserts and Bakes', 'Di dalam ruangan', 'Area Merokok', 'Pesan Antar', 'Bawa Pulang Tersedia']"
CAMDEN BAR,"['Casual Dining', 'Bar']",['Kopi'],"['Indonesia', 'Itali', 'Barat']",250000,4.1,432,"Jl. Cikini II No. 1, Cikini, Jakarta",Menteng,Jakarta Pusat,DKI Jakarta,"['Alkohol Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Meja Billiard', 'Kehidupan Malam', 'Wifi Tersedia']"
Cohere,['Kafe'],"['Tea', 'Kopi']","['Asia', 'Indonesia']",200000,4.2,204,"Jl. Ciheuleut No. 21C, Bogor Timur, Bogor",Bogor Timur,Bogor Kota,Jawa Barat,"['Ruang Pribadi Tersedia', 'Desserts and Bakes', 'Tempat duduk di luar', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Pesan Antar', 'Bawa Pulang Tersedia']"
Kopi Toko Djawa,['Toko Minuman'],"['Kopi', 'Minuman', 'Kue & Roti']","['No Region', 'Jawa', 'Indonesia']",80000,3.9,26,"Satu Komunal Space, Jl. Sultan Iskandar Muda No. 1B, Pondok Indah, Jakarta",Kebayoran Lama,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Monarchy House,['Casual Dining'],['Kopi'],"['Asia', 'Indonesia', 'Kontinental']",150000,4.2,664,"Jl. Pajajaran Indah V No. 5, Bogor Timur 16143",Bogor Timur,Bogor Kota,Jawa Barat,"['Ruang Pribadi Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Hanya Bir', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Echigoya Ramen,['Casual Dining'],['Ramen'],['Jepang'],250000,4.3,257,"Jl. Melawai 8 No. 2A, Melawai, Jakarta",Kebayoran Baru,Jakarta Selatan,DKI Jakarta,"['', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'No Additional Info', 'Hanya Bir', 'Bawa Pulang Tersedia']"
dia.lo.gue,['Casual Dining'],['Kopi'],"['Indonesia', 'Itali', 'Barat']",250000,3.9,877,"Jl. Kemang Selatan Raya No. 99A, Kemang, Jakarta",Pasar Minggu,Jakarta Selatan,DKI Jakarta,"['Sarapan', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Hanya Bir', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Oh My Taco,['Quick Bites'],['Kopi'],['Meksiko'],180000,3.4,66,"Ruko Graha Boulevard, Jl. Gading Serpong Boulevard, Blok D No. 16, Serpong Utara, Tangerang 15810",Kelapa Dua,Tangerang Kabupaten,Banten,"['Tempat duduk di luar', 'Di dalam ruangan', 'Live Music', 'Reservasi meja direkomendasikan', 'Live Entertainment', 'Area Merokok', 'Menyediakan cocktail', 'Hanya Bir', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Kiong Hee Misua,['Quick Bites'],['Kopi'],"['Taiwanese', 'Chinese']",100000,3.7,22,"Ruko Mendrisio 2, Blok A No. 10, Jl. BSD Raya Utama, Serpong Utara, Tangerang",Pagedangan,Tangerang Kabupaten,Banten,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
