Restaurant Name,Place Type,Cuisines,Cuisine Regionality,Price for 2,Restaurant Rating,Restaurant Review,Restaurant Address,District/Kecamatan,City,Province,Additional Info
King Sago,['Quick Bites'],['Kopi'],['Chinese'],100000,3.0,26,"Jl. Mangga Raya, Blok A No. 5, Green Ville, Jakarta",Kebon Jeruk,Jakarta Barat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Baso Aci Neng Geulis,['Quick Bites'],['Bakso'],['Indonesia'],60000,3.6,7,"Jl. Ukir 2 No.56, RT.6/RW.6, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720, Indonesia",Cengkareng,Jakarta Barat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Repha's Restaurant,['Quick Bites'],"['Kopi', 'Desserts']","['Indonesia', 'Barat']",150000,3.7,4,"Plaza Menteng, Lantai Ground, Jl. Hos Cokroaminoto No. 79, Menteng, Jakarta",Menteng,Jakarta Pusat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Area Merokok', 'Di dalam ruangan']"
Kwetiau Sapi Ameng,['Quick Bites'],['Meat'],['Chinese'],150000,3.5,7,"Ruko Citra Garden 2, Jl. Kebahagiaan No. 10, Daan Mogot, Jakarta",Kalideres,Jakarta Barat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Achui Medan,['Quick Bites'],['Kopi'],"['Medan', 'Chinese']",100000,3.7,27,"Jl. Muara Karang Raya Blok Z5, Muara Karang, Jakarta",Penjaringan,Jakarta Utara,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Bengkel Penyet,['Quick Bites'],['Ayam'],['Indonesia'],80000,3.5,11,"Jl. Taman Aries Utama Blok A3 No. 28, Meruya, Jakarta",Kembangan,Jakarta Barat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Pesan Antar']"
AR Steamboat & Yakiniku,['Quick Bites'],"['Grill House', 'Tea']","['Jepang', 'No Region', 'Indonesia']",150000,3.8,5,"Jl. Karet Pedurenan Raya No. 66-68, Setiabudi, Jakarta",Setiabudi,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Wifi Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan']"
RESTOGRAM,['Casual Dining'],['Kopi'],['Indonesia'],150000,3.8,20,"Gandaria City, Lantai Upper Ground, Jl. Sultan Iskandar Muda, Gandaria, Jakarta",Kebayoran Lama,Jakarta Selatan,DKI Jakarta,"['Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Pesan Antar', 'Bawa Pulang Tersedia']"
SEDOT KOPI,['Kafe'],"['Kopi', 'Minuman']",['No Region'],100000,3.7,9,"Jl. Raya Kelapa Nias, Blok N 12 No. 1, Kelapa Gading, Jakarta",Kelapa Gading,Jakarta Utara,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Bakmi Shanghie,['Quick Bites'],['Bakmi'],['Indonesia'],50000,3.4,16,"Jl. Gajah Mada No. 55, Gajah Mada, Jakarta",Tamansari,Jakarta Barat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Babi Geprek,['Food Court'],"['Ayam', 'Meat']","['Indonesia', 'Chinese']",80000,2.3,4,"Mall Kelapa Gading 3, Lantai 3, Eat & Eat, Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta",Kelapa Gading,Jakarta Utara,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
