,Restaurant Name,Place Type,Cuisines,Cuisine Regionality,Price for 2,Restaurant Address,Restaurant Rating,Restaurant Review,City,Province,Latitude,Longitude
6660,Coriander Restaurant - Hotel Olympic Renotel,['Casual Dining'],['Kopi'],"['Indonesia', 'Barat']",250000,"Hotel Olympic Renotel, Jl. Olympic Raya Kav. C-4A, Sentul, Bogor 16810",3.4,15,Bogor Kabupaten,Jawa Barat,-6.522933,106.85416399999998
6661,La Table - Hotel ibis Jakarta Tamarin,['Casual Dining'],['Kopi'],"['Jawa', 'Sunda', 'Barat']",225000,"Hotel ibis Jakarta Tamarin, Jl. KH Wahid Hasyim No. 77, Menteng, Jakarta",3.3,5,Jakarta Pusat,DKI Jakarta,-6.187542,106.826826
6662,Sate Pakde,['Quick Bites'],['Satay'],['Indonesia'],150000,"Jl. Lenteng Agung Raya, Jagakarsa, Jakarta",3.4,6,Jakarta Selatan,DKI Jakarta,-6.323399,106.835689
6663,Warung AT&T,['Kafe'],['Kopi'],"['Barat', 'Indonesia']",100000,"Jl. Radar Auri No. 30, Cimanggis, Depok",2.7,22,Jakarta Timur,DKI Jakarta,-6.3697859869,106.88571844200001
6664,Griya Hastika,['Quick Bites'],['Kopi'],['Indonesia'],120000,"Jl. Penjernihan IV No. 7, Bendungan Hilir, Jakarta",3.5,5,Jakarta Pusat,DKI Jakarta,-6.2066294626,106.804446503
6665,Nat's Kitchen,['Quick Bites'],['Kopi'],['Indonesia'],80000,"Kuningan City, Lantai Lower Ground Shop Unit LG-30, Jl. Prof Dr Satrio, Kuningan, Jakarta",3.6,145,Jakarta Selatan,DKI Jakarta,-6.2249109142,106.82912383200001
6666,Edelweiss - Hotel Santika,['Casual Dining'],['Kopi'],"['Barat', 'Indonesia', 'Itali']",350000,"Hotel Santika, Jl. Pajajaran, Bogor Tengah, Bogor",3.3,12,Bogor Kota,Jawa Barat,-6.6013333333,106.806333333
6667,Martabak Rakyat,['Quick Bites'],['Martabak'],['Indonesia'],100000,"Jl. Dharma Kencana Blok G No. 2, Daan Mogot, Jakarta",3.5,19,Jakarta Barat,DKI Jakarta,-6.163687,106.722876
6668,Warung Nasi Gudeg Bu Rini,['Quick Bites'],['Gudeg'],"['Jawa', 'Yogyakarta', 'Medan', 'Indonesia']",50000,"Jl. Pejuang Jaya, Blok C No. 564B, Medan Satria, Bekasi",3.4,10,Bekasi Kota,Jawa Barat,-6.1825862,106.990641094
6669,Kopi Time,['Quick Bites'],"['Tea', 'Kopi', 'Minuman']",['No Region'],120000,"Karawaci Office Park, Jl. Imam Bonjol, Cibodas, Tangerang",3.1,7,Tangerang Kota,Banten,-6.223609,106.618755
