Website,Delivery Service
https://www.zomato.com/id/jakarta/golden-leaf-restaurant-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/psk-penggemar-sate-kiloan-cisarua-bogor,Yes
https://www.zomato.com/id/jakarta/paradigma-cikini,Yes
https://www.zomato.com/id/jakarta/pizza-maru-1-thamrin,Yes
https://www.zomato.com/id/jakarta/double-u-steak-by-chef-widhi-bekasi-selatan-bekasi,Yes
https://www.zomato.com/id/jakarta/rooftop-at-bulungan-blok-m,Yes
https://www.zomato.com/id/jakarta/three-buns-senopati,Yes
https://www.zomato.com/id/jakarta/sudutsatu-cafe-tanjung-duren,Yes
https://www.zomato.com/id/jakarta/honu-pok%C3%A9-matcha-bar-kemang,Yes
https://www.zomato.com/id/jakarta/three-folks-2-kebon-jeruk,Yes
https://www.zomato.com/id/jakarta/bunga-rampai-menteng,Yes
https://www.zomato.com/id/jakarta/al-jazeerah-cikini,Yes
https://www.zomato.com/id/jakarta/maple-oak-menteng,Yes
https://www.zomato.com/id/jakarta/bounce-cafe-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/warung-mjs-setiabudi,Yes
https://www.zomato.com/id/jakarta/bakmi-gading-permai-bgp-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/vin-wine-beyond-senayan,Yes
https://www.zomato.com/id/jakarta/nasi-campur-aliong-333-gunung-sahari,Yes
https://www.zomato.com/id/jakarta/expatriate-italian-restaurant-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/warteg-warmo-tebet,Yes
https://www.zomato.com/id/jakarta/rm-sinar-minang-grogol,Yes
https://www.zomato.com/id/jakarta/bun-ong-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/rumah-makan-padang-siang-malam-gambir,Yes
https://www.zomato.com/id/jakarta/bakmi-sanming-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/calibrew-coffee-serpong-tangerang,Yes
https://www.zomato.com/id/jakarta/pepper-lunch-fatmawati,Yes
https://www.zomato.com/id/jakarta/sailendra-jw-marriott-hotel-kuningan,Yes
https://www.zomato.com/id/jakarta/kopi-praja-3-pondok-aren-tangerang,Yes
https://www.zomato.com/id/jakarta/twinhouse-pondok-aren-tangerang,Yes
https://www.zomato.com/id/jakarta/niyom-1-green-ville,Yes
https://www.zomato.com/id/jakarta/macaroni-panggang-bogor-tengah,Yes
https://www.zomato.com/id/jakarta/weekend-mates-coffee-1-bintaro,Yes
https://www.zomato.com/id/jakarta/the-ratjik-cipondoh-tangerang,Yes
https://www.zomato.com/id/jakarta/dconsulate-lounge-menteng,Yes
https://www.zomato.com/id/jakarta/shiny-tea-1-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/westward-coffee-tebet,Yes
https://www.zomato.com/id/jakarta/the-lucys-kitchen-sudirman,Yes
https://www.zomato.com/id/jakarta/syailendra-coffee-shop-puri-mega-hotel-cempaka-putih,Yes
https://www.zomato.com/id/jakarta/phd-beji,Yes
https://www.zomato.com/id/jakarta/soulspin-cengkareng,Yes
https://www.zomato.com/id/jakarta/fj-bistro-deli-kemang,Yes
https://www.zomato.com/id/jakarta/wok-eat-out-cilandak,Yes
https://www.zomato.com/id/jakarta/kopi-krintji-blok-m,Yes
https://www.zomato.com/id/jakarta/dope-burger-co-menteng,Yes
https://www.zomato.com/id/jakarta/lot-9-pondok-aren,Yes
https://www.zomato.com/id/jakarta/restoran-padang-trio-jumbo-bogor-tengah-bogor,Yes
