Restaurant Name,Restaurant Area,Restaurant Address,Latitude,Longitude,Province,City,District/Kecamatan
Seroja,Setiabudi,"Jl. Setiabudi 2 No. 499, Setiabudi, Jakarta",-6.2101162163,106.827506795,DKI Jakarta,Jakarta Selatan,Setiabudi
Fleudelys Cafe Grill & Shabu-shabu,Jatisampurna,"Ruko Madison Square, SHC 1 No. 11, Jatisampurna, Bekasi",-6.3508985058,106.961982362,Jawa Barat,Bogor Kabupaten,Gunung Putri
Cozy,Pondok Gede,"Pondok Gede Plaza, Jl. Raya Pondok Gede, Pondok Gede, Bekasi",-6.284209,106.911102,Jawa Barat,Bekasi Kota,Pondok Gede
Kok Tong Kopi,Pantai Indah Kapuk,"Marketing Office PIK 2, Jl. Marina Indah Raya No. 1, Pantai Indah Kapuk, Jakarta",-6.1123330000000005,106.749734,DKI Jakarta,Jakarta Utara,Penjaringan
Sop Ma' Idah Djakarta Soenda (Janda),Kalimalang,"Jl. Kalimalang Raya, Kalimalang, Jakarta 13450",-6.2478727344000005,106.91387292,DKI Jakarta,Jakarta Timur,Duren Sawit
Ulana Bleu Cafe,Pecenongan,"Jl. Batu Ceper Raya No. 59, Pecenongan, Jakarta",-6.1621120000000005,106.82376399999998,DKI Jakarta,Jakarta Pusat,Gambir
Warung Pojok,Tanjung Duren,"Apartemen Mediterania 2, Tower HJ, Jl. Tanjung Duren Raya, Tanjung Duren, Jakarta",-6.1771326239999995,106.78847026,DKI Jakarta,Jakarta Barat,Grogol Petamburan
Kwetiau Akang Medan,Serpong,"Ruko Tol Boulevard, Jl Kapten Soebianto Djojohadikusumo, Blok F No. 17, Serpong, Tangerang",-6.302406,106.668878,Banten,Tangerang Selatan,Serpong
Bros Burgers & Beers,Kemang,"Jl. Taman Kemang 1 No. 6, Kemang, Jakarta",-6.256189455,106.810170337,DKI Jakarta,Jakarta Selatan,Mampang Prapatan
Soto & Sop Kaki Sapi H. Agus,Blok M,"Jl. Barito I, Blok M, Jakarta",-6.244736,106.79354,DKI Jakarta,Jakarta Selatan,Kebayoran Baru
