Restaurant Name,Restaurant Type,Cuisine Type,Restaurant Area,Restaurant Rating,Review Counts,Latitude,Longitude,Website,Restaurant Address,Price for 2,Additional Info
Nomar Cafe,Toko Minuman,"['Indonesia', 'Kopi', 'Snacks']",Thamrin,Not Rated Yet,TIdak cukup Ulasan,-6.2018930000,106.821709000,"https://www.zomato.com/id/jakarta/nomar-cafe-thamrin
","Stasiun BNI City, Jl. Tanjung Karang No. 1, Thamrin, Jakarta, Thamrin, Jakarta",Rp50.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Ruang Sholat', 'Di dalam ruangan', 'Wifi Tersedia']"
Mie I Am,Food Court,['Bakmi'],Blok M,Not Rated Yet,TIdak cukup Ulasan,-6.2442740000,106.797536000,"https://www.zomato.com/id/jakarta/mie-i-am-blok-m
","Plaza Blok M, Lantai 5, Food Society, Jl. Bulungan No. 76, Blok M, Jakarta",Rp80.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Nomer 9,Food Court,['Indonesia'],SCBD,Not Rated Yet,TIdak cukup Ulasan,-6.2277860000,106.808507000,"https://www.zomato.com/id/jakarta/nomer-9-scbd
","PAC 10, SCBD Lot 10, Jl. Jenderal Sudirman, SCBD, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan']"
Hi-Cocoa,Toko Minuman,"['Desserts', 'Minuman']",Pondok Aren,Not Rated Yet,TIdak cukup Ulasan,-6.2753650000,106.719250000,"https://www.zomato.com/id/jakarta/hi-cocoa-pondok-aren-tangerang
","Giant Bintaro Sektor 7, Lantai 2, Jl. Rasuna Said, Pondok Aren, Tangerang",Rp60.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Desserts and Bakes']"
Soto Betawi,Food Court,"['Betawi', 'Soto']",Gunung Sahari,Not Rated Yet,TIdak cukup Ulasan,-6.1615320000,106.838154000,"https://www.zomato.com/id/jakarta/soto-betawi-gunung-sahari
","Golden Truly Mall, Lantai 1, Food Court, Jl. Gunung Sahari No. 59, Gunung Sahari, Jakarta",Rp70.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Nasi Uduk Ayung,Quick Bites,['Indonesia'],Muara Karang,Not Rated Yet,TIdak cukup Ulasan,-6.1161680000,106.779136000,"https://www.zomato.com/id/jakarta/nasi-uduk-ayung-muara-karang
","Jl. Niaga II No. 25, Muara Karang, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan']"
Dips N Saus,Quick Bites,"['Barat', 'Asia', 'Cemilan']",Grogol,Not Rated Yet,TIdak cukup Ulasan,-6.1658610000,106.791977000,"https://www.zomato.com/id/jakarta/dips-n-saus-grogol
","PHX Grogol, Lantai 2, Jl. Dr. Susilo No. 342, Grogol, Jakarta",Rp60.000 untuk 2 orang (perkiraan),"['Pesan Antar', 'Wifi Tersedia', 'Di dalam ruangan']"
Mie Aceh Meutuah,Quick Bites,['Aceh'],Gunung Sahari,Not Rated Yet,TIdak cukup Ulasan,-6.1359460000,106.832319000,"https://www.zomato.com/id/jakarta/mie-aceh-meutuah-gunung-sahari
","Jl. Gunung Sahari No. 1A, Gunung Sahari, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan']"
Warung Bu Nissya,Quick Bites,['Indonesia'],Periuk,Not Rated Yet,TIdak cukup Ulasan,-6.1538230000,106.580888000,"https://www.zomato.com/id/jakarta/warung-bu-nissya-periuk-tangerang
","Pertokoan Barkah, Blok J9, Jl. Raya Puri Agung, Periuk, Tangerang",Rp50.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan']"
Jagoan Bakso Malang,Food Court,['Bakso'],Blok M,Not Rated Yet,TIdak cukup Ulasan,-6.2445162133,106.797745004,"https://www.zomato.com/id/jakarta/jagoan-bakso-malang-blok-m
","Plaza Blok M, Lantai 5, Food Society, Jl. Bulungan No. 76, Blok M, Jakarta",Rp60.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
